dist,region,reg_prop,2020_pop,pop_pct,2025_dif,2025_pop,2030_dif,2030_pop,2035_dif,2035_pop,2040_dif,2040_pop,2045_dif,2045_pop,2050_dif,2050_pop,2055_dif,2055_pop,2060_dif,2060_pop,2065_dif,2065_pop,2070_dif,2070_pop,2075_dif,2075_pop,2080_dif,2080_pop,2085_pop,2085_pop,2090_dif,2090_pop,2095_dif,2095_pop,2100_dif,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Daffiama Bussie Issa,VOLTA,Volta,40606,0.13,5466,46072,10264,50870,14202,54808,19211,59817,23081,63687,27908,68514,31258,71864,35621,76227,38369,78975,42285,82891,44466,85072,47873,88479,49354,89960,52070,92676,52799,93405,54930,95536,7979,1616801,,
Denkyembuor,NORTHERN,Northern,99374,0.32,14034,113408,25120,124494,35538,134912,47013,146387,57394,156768,68297,167671,77522,176896,87174,186548,95026,194400,103482,202856,110034,209408,117158,216532,122066,221440,127430,226804,130546,229920,134429,233803,15047,485245,,
Dormaa Central,UPPER WEST,Upper West,141999,0.46,21025,163024,35894,177893,51937,193936,67179,209178,83355,225354,97593,239592,112289,254288,124566,266565,137451,279450,147869,289868,159025,301024,167410,309409,176321,318320,182090,324089,188511,330510,192090,334089,29679,1342921,2.2,
Dormaa East,EASTERN,Eastern,64421,0.21,10003,74424,16284,80705,24115,88536,30477,94898,38458,102879,44275,108696,51667,116088,56512,120933,63154,127575,67084,131505,73003,137424,75949,140370,80899,145320,82609,147030,86464,150885,87146,151567,11807,632714,5.1,
Dormaa West (Nkran Nkwanta),BONO,Bono,60467,0.2,10413,70880,15285,75752,23853,84320,28607,89074,37513,97980,41558,102025,50093,110560,53043,113510,61033,121500,62967,123434,70413,130880,71288,131755,77933,138400,77539,138006,83233,143700,81797,142264,6267,422696,,
East Gonja,BONO,Bono,133805,0.43,18587,152392,33823,167628,47483,181288,63303,197108,76852,210657,91961,225766,103899,237704,117378,251183,127420,261225,139336,273141,147587,281392,157750,291555,163755,297560,171582,305387,175150,308955,181005,314810,19979,6018584,7.7,
East Mamprusi,BONO,Bono,153225,0.49,20431,173656,38732,191957,53359,206584,72490,225715,86826,240051,105308,258533,117647,270872,134413,287638,144450,297675,159559,312784,167431,320656,180645,333870,185855,339080,196485,349710,198840,352065,207276,360501,18376,1899427,16.8,
Effia Kwesimintsim,SAVANNAH,Savannah,309514,1,44886,354400,78238,387752,112086,421600,146430,455944,180386,489900,212722,522236,243286,552800,271515,581029,297986,607500,322308,631822,344886,654400,364903,674417,382486,692000,396899,706413,408986,718500,418697,728211,27877,78564,,
Effutu,NORTH EAST,North East,81178,0.26,10966,92144,20520,101698,28438,109616,38405,119583,46196,127374,55792,136970,62550,143728,71212,152390,76772,157950,84534,165712,88966,170144,95705,176883,98742,179920,104097,185275,105632,186810,109814,190992,11162,88225,10.6,
Ejisu,WESTERN,Western,118217,0.38,16455,134672,29883,148100,41991,160208,55928,174145,67945,186162,81248,199465,91847,210064,103703,221920,112633,230850,123104,241321,130455,248672,139373,257590,144743,262960,151593,269810,154813,273030,159919,278136,43960,259983,2.4,
Ejura Sekyedumase,CENTRAL,Central,105952,0.34,14544,120496,26782,132734,37392,143344,50126,156078,60614,166566,72818,178770,82000,187952,92944,198896,100598,206550,110332,216284,116544,222496,124913,230865,129328,235280,135865,241817,138338,244290,143327,249279,15936,1489602,3.9,
Ekumfi,ASHANTI,Ashanti,61747,0.2,9133,70880,15608,77355,22573,84320,29212,90959,36233,97980,42437,104184,48813,110560,54166,115913,59753,121500,64299,126046,69133,130880,72797,134544,76653,138400,79180,140927,81953,143700,83529,145276,12133,307697,,
Ellembelle,ASHANTI,Ashanti,116435,0.38,18237,134672,29432,145867,43773,160208,55085,171520,69727,186162,80023,196458,93629,210064,102140,218575,114415,230850,121248,237683,132237,248672,137272,253707,146525,262960,149308,265743,156595,273030,157508,273943,16010,1107174,,
Fanteakwa North,CENTRAL,Central,74911,0.24,10145,85056,18936,93847,26273,101184,35440,110351,42665,117576,51485,126396,57761,132672,65714,140625,70889,145800,78008,152919,82145,157056,88317,163228,91169,166080,96061,170972,97529,172440,101336,176247,8493,931169,,
Fanteakwa South,WESTERN,Western,61994,0.2,8886,70880,15671,77665,22326,84320,29329,91323,35986,97980,42607,104601,48566,110560,54383,116377,59506,121500,64557,126551,68886,130880,73088,135082,76406,138400,79497,141491,81706,143700,83863,145857,9013,291671,16.4,
Ga Central,EASTERN,Eastern,147820,0.48,22292,170112,37366,185186,54548,202368,69933,217753,87332,235152,101593,249413,117524,265344,129672,277492,143780,291600,153930,301750,166292,314112,174273,322093,184340,332160,189554,337374,197060,344880,199964,347784,44876,54554,4.2,
Ga East,EASTERN,Eastern,186342,0.6,26298,212640,47103,233445,66618,252960,88158,274500,107598,293940,128069,314411,145338,331680,163465,349807,178158,364500,194045,380387,206298,392640,219689,406031,228858,415200,238952,425294,244758,431100,252075,438417,69023,95337,1.9,
Ga North,GREATER ACCRA,Greater Accra,131129,0.42,17719,148848,33147,164276,45943,177072,62037,193166,74629,205758,90122,221251,101047,232176,115030,246159,124021,255150,136549,267678,143719,274848,154595,285724,159511,290640,168151,299280,170641,301770,177385,308514,5207,189894,56.7,
Ga South,GREATER ACCRA,Greater Accra,295344,0.95,41336,336680,74657,370001,105176,400520,139726,435070,170061,465405,202983,498327,229816,525160,259084,554428,281781,577125,307553,602897,326336,621680,348197,643541,362056,657400,378729,674073,387231,682575,399528,694872,55446,124154,2.3,
Ga West,GREATER ACCRA,Greater Accra,127841,0.41,17463,145304,32315,160156,45015,172856,60481,188322,73018,200859,87862,215703,98807,226648,112146,239987,121234,249075,133126,260967,140463,268304,150719,278560,155879,283720,163934,291775,166744,294585,172938,300779,123559,333434,0.6,
Garu,GREATER ACCRA,Greater Accra,72634,0.23,8878,81512,18360,90994,24334,96968,34363,106997,40043,112677,49920,122554,54510,127144,63717,136351,67091,139725,75636,148270,77878,150512,85632,158266,86526,159160,93141,165775,92621,165255,98256,170890,3407,708977,48.2,
Gomoa Central,GREATER ACCRA,Greater Accra,164304,0.53,23528,187832,41532,205836,59144,223448,77732,242036,95343,259647,112922,277226,128680,292984,144132,308436,157671,321975,171096,335400,182528,346832,193707,358011,202456,366760,210692,374996,216501,380805,222263,386567,7506,177451,10.8,
Gomoa East,UPPER EAST,Upper East,80694,0.26,11450,92144,20398,101092,28922,109616,38176,118870,46680,127374,55459,136153,63034,143728,70787,151481,77256,157950,84030,164724,89450,170144,95135,175829,99226,179920,103476,184170,106116,186810,109159,189853,53026,423048,3,
Gomoa West,CENTRAL,Central,159680,0.52,24608,184288,40364,200044,59552,219232,75544,235224,95068,254748,109744,269424,127776,287456,140076,299756,156220,315900,166281,325961,180608,340288,188256,347936,200160,359840,204763,364443,213940,373620,216008,375688,18969,509980,,
Gushegu,CENTRAL,Central,140368,0.45,19112,159480,35482,175850,49352,189720,66408,206776,80087,220455,96472,236840,108392,248760,123135,263503,133007,273375,146170,286538,154112,294480,165488,305856,171032,311400,179998,320366,182957,323325,189883,330251,7774,2976697,,
Ho,CENTRAL,Central,223614,0.72,31554,255168,56525,280139,79938,303552,105791,329405,129114,352728,153685,377299,174402,398016,196161,419775,213786,437400,232858,456472,247554,471168,263631,487245,274626,498240,286747,510361,293706,517320,302495,526109,34319,639284,3.5,
Ho West,NORTHERN,Northern,119389,0.39,18827,138216,30179,149568,45035,164424,56483,175872,71672,191061,82053,201442,96203,215592,104731,224120,117536,236925,124324,243713,135827,255216,140754,260143,150491,269880,153096,272485,160826,280215,161504,280893,15401,1117105,13.7,
Hohoe,VOLTA,Volta,210769,0.68,30223,240992,53278,264047,75919,286688,99714,310483,122363,333132,144857,355626,165135,375904,184893,395662,202331,413100,219482,430251,234223,444992,248487,459256,259791,470560,270276,481045,277811,488580,285119,495888,23659,762258,4.4,
Jaman North,VOLTA,Volta,105210,0.34,15286,120496,26595,131805,38134,143344,49774,154984,61356,166566,72308,177518,82742,187952,92293,197503,101340,206550,109559,214769,117286,222496,124038,229248,130070,235280,134914,240124,139080,244290,142323,247533,21081,1144554,5.6,
Jaman South,VOLTA,Volta,117315,0.38,17357,134672,29655,146970,42893,160208,55501,172816,68847,186162,80628,197943,92749,210064,102912,220227,113535,230850,122164,239479,131357,248672,138309,255624,145645,262960,150437,267752,155715,273030,158698,276013,23010,838232,3.2,
Jasikan,BONO,Bono,74281,0.24,10775,85056,18777,93058,26903,101184,35142,109423,43295,117576,51052,125333,58391,132672,65161,139442,71519,145800,77352,151633,82775,157056,87574,161855,91799,166080,95253,169534,98159,172440,100484,174765,8378,619202,,
Jomoro,BONO,Bono,199725,0.65,30635,230360,50486,250211,74315,274040,94489,294214,118710,318435,137266,336991,159595,359320,175205,374930,195150,394875,207981,407706,225635,425360,235467,435192,250075,449800,256113,455838,267300,467025,270179,469904,27237,1621464,2.2,
Juaben,OTI,Oti,59915,0.19,7421,67336,15145,75060,20189,80104,28346,88261,33166,93081,41178,101093,45117,105032,52559,112474,55510,115425,62392,122307,64421,124336,70637,130552,71565,131480,76831,136746,76600,136515,81050,140965,10656,387412,7.3,
Juaboso,UPPER WEST,Upper West,77963,0.25,10637,88600,19707,97670,27437,105400,36884,114847,44512,122475,53582,131545,60237,138200,68391,146354,73912,151875,81186,159149,85637,163600,91915,169878,95037,173000,99974,177937,101662,179625,105465,183428,12135,1520021,6.1,
Kadjebi,WESTERN,Western,74386,0.24,10670,85056,18803,93189,26798,101184,35192,109578,43190,117576,51124,125510,58286,132672,65254,139640,71414,145800,77461,151847,82670,157056,87698,162084,91694,166080,95387,169773,98054,172440,100626,175012,8157,768632,,
Karaga (Karaga),ASHANTI,Ashanti,98046,0.32,15362,113408,24784,122830,36866,134912,46385,144431,58722,156768,67385,165431,78850,176896,86009,184055,96354,194400,102099,200145,111362,209408,115592,213638,123394,221440,125727,223773,131874,229920,132632,230678,8943,3470989,,
Kasena Nankana,WESTERN NORTH,Western North,136875,0.44,19061,155936,34599,171474,48629,185504,64755,201630,78681,215556,94071,230946,106357,243232,120071,256946,130425,267300,142533,279408,151061,287936,161370,298245,167605,304480,175519,312394,179265,316140,185158,322033,13552,852967,,
Kasena Nankana West,OTI,Oti,87987,0.28,11245,99232,22241,110228,30061,118048,41626,129613,49185,137172,60471,148458,66797,154784,77185,165172,82113,170100,91624,179611,95245,183232,103733,191720,105773,193760,112828,200815,113193,201180,119025,207012,7096,970305,,
Keta,NORTHERN,Northern,81810,0.26,10334,92144,20680,102490,27806,109616,38704,120514,45564,127374,56226,138036,61918,143728,71766,153576,76140,157950,85192,167002,88334,170144,96450,178260,98110,179920,104907,186717,105000,186810,110669,192479,17398,399880,,
Ketu North,UPPER EAST,Upper East,125956,0.41,19348,145304,31839,157795,46900,172856,59589,185545,74903,200859,86567,212523,100692,226648,110492,236448,123119,249075,131163,257119,142348,268304,148496,274452,157764,283720,161517,287473,168629,294585,170388,296344,21753,472387,9.3,
Ketu South,UPPER EAST,Upper East,202734,0.65,27626,230360,51247,253981,71306,274040,95913,298647,115701,318435,139334,342068,156586,359320,177844,380578,192141,394875,211114,413848,222626,425360,239014,441748,247066,449800,259972,462706,264291,467025,274249,476983,47702,310299,2.5,
Kintampo North,VOLTA,Volta,119762,0.39,18454,138216,30273,150035,44662,164424,56659,176421,71299,191061,82310,202072,95830,215592,105059,224821,117163,236925,124713,244475,135454,255216,141194,260956,150118,269880,153574,273336,160453,280215,162009,281771,17653,5431939,5.7,
Kintampo South,VOLTA,Volta,101494,0.33,15458,116952,25655,127149,37634,139128,48016,149510,60173,161667,69754,171248,80930,182424,89033,190527,98981,200475,105689,207183,114458,215952,119657,221151,126866,228360,130149,231643,135611,237105,137297,238791,13394,1681351,12.8,
Komenda Edina Eguafo Abirem,VOLTA,Volta,171278,0.55,23642,194920,43295,214573,60602,231880,81031,252309,98167,269445,117715,288993,132762,304040,150250,321528,162847,334125,178358,349636,188642,359920,201929,373207,209322,380600,219635,390913,223897,395175,231697,402975,24413,502922,,
Korle Klottey,BONO EAST,Bono East,153452,0.5,23748,177200,38789,192241,57348,210800,72598,226050,91498,244950,105464,258916,122948,276400,134613,288065,150298,303750,159795,313247,173748,327200,180913,334365,192548,346000,196776,350228,205798,359250,207583,361035,12857,13289,,
Kpandai,BONO EAST,Bono East,137249,0.44,18687,155936,34694,171943,48255,185504,64932,202181,78307,215556,94328,231577,105983,243232,120399,257648,130051,267300,142922,280171,150687,287936,161810,299059,167231,304480,175999,313248,178891,316140,185664,322913,9939,1261277,13.8,
Kpando,CENTRAL,Central,67831,0.22,10137,77968,17146,84977,24921,92752,32091,99922,39947,107778,46619,114450,53785,121616,59503,127334,65819,133650,70635,138466,76137,143968,79970,147801,84409,152240,86982,154813,90239,158070,91759,159590,13456,349850,5,
Kpone Katamanso,GREATER ACCRA,Greater Accra,138529,0.45,20951,159480,35017,173546,51191,189720,65538,204067,81926,220455,95208,233737,110231,248760,121522,260051,134846,273375,144255,282784,155951,294480,163320,301849,172871,311400,177640,316169,184796,323325,187396,325925,82926,267058,,
Krachi East,NORTHERN,Northern,146402,0.47,20166,166568,37007,183409,51750,198152,69262,215664,83851,230253,100619,247021,113414,259816,128428,274830,139123,285525,152454,298856,161166,307568,172601,319003,178838,325240,187736,334138,191293,337695,198046,344448,13374,3073226,10.9,
Krachi Nchumuru,VOLTA,Volta,91179,0.29,11597,102776,23048,114227,31085,122264,43136,134315,50892,142071,62665,153844,69133,160312,79985,171164,84996,176175,94948,186127,98597,189776,107496,198675,109501,200680,116922,208101,117186,208365,123343,214522,10096,1330252,9,
Krachi West,GREATER ACCRA,Greater Accra,61960,0.2,8920,70880,15662,77622,22360,84320,29313,91273,36020,97980,42584,104544,48600,110560,54353,116313,59540,121500,64521,126481,68920,130880,73048,135008,76440,138400,79453,141413,81740,143700,83817,145777,9698,1033641,6.4,
Krowor,OTI,Oti,128675,0.42,20173,148848,32526,161201,48397,177072,60876,189551,77083,205758,88435,217110,103501,232176,112877,241552,126475,255150,133994,262669,146173,274848,151702,280377,161965,290640,165004,293679,173095,301770,174066,302741,18284,18905,7,
Kumbungu,OTI,Oti,49626,0.16,7078,56704,12544,62170,17830,67456,23478,73104,28758,78384,34107,83733,38822,88448,43533,93159,47574,97200,51677,101303,55078,104704,58507,108133,61094,110720,63637,113263,65334,114960,67132,116758,14871,1713702,9.6,
Kwabre East,OTI,Oti,143180,0.46,19844,163024,36193,179373,50756,193936,67738,210918,82174,225354,98404,241584,111108,254288,125602,268782,136270,279450,149099,292279,157844,301024,168803,311983,175140,318320,183604,326784,187330,330510,193687,336867,50522,136663,6.2,
Kwadaso,GREATER ACCRA,Greater Accra,311242,1.01,46702,357944,78675,389917,114574,425816,147248,458490,183557,494799,213909,525151,247086,558328,273030,584272,302333,613575,324108,635350,349702,660944,366940,678182,387678,698920,399115,710357,414443,725685,421034,732276,28521,36930,5,
Kwaebibirem,ASHANTI,Ashanti,143336,0.46,19688,163024,36232,179568,50600,193936,67812,211148,82018,225354,98512,241848,110952,254288,125738,269074,136114,279450,149261,292597,157688,301024,168987,312323,174984,318320,183804,327140,187174,330510,193898,337234,22358,893682,5.8,
Kwahu Afram Plains North,NORTHERN,Northern,129135,0.42,19713,148848,32643,161778,47937,177072,61093,190228,76623,205758,88752,217887,103041,232176,113281,242416,126015,255150,134473,263608,145713,274848,152244,281379,161505,290640,165594,294729,172635,301770,174688,303823,12054,2606921,12.1,
Kwahu Afram Plains South,ASHANTI,Ashanti,146026,0.47,20542,166568,36912,182938,52126,198152,69084,215110,84227,230253,100360,246386,113790,259816,128098,274124,139499,285525,152062,298088,161542,307568,172158,318184,179214,325240,187254,333280,191669,337695,197537,343563,10258,3444564,9.5,
Kwahu East,ASHANTI,Ashanti,97208,0.31,12656,109864,24572,121780,33488,130696,45989,143197,54661,151869,66809,164017,74160,171368,85274,182482,91117,188325,101226,198434,105656,202864,114604,211812,117312,214520,124653,221861,125527,222735,131499,228707,16632,693342,5.3,
Kwahu South,EASTERN,Eastern,87912,0.28,11320,99232,22222,110134,30136,118048,41591,129503,49260,137172,60420,148332,66872,154784,77119,165031,82188,170100,91546,179458,95320,183232,103644,191556,105848,193760,112732,200644,113268,201180,118923,206835,18762,885411,6.3,
Kwahu West,EASTERN,Eastern,117945,0.38,16727,134672,29814,147759,42263,160208,55799,173744,68217,186162,81061,199006,92119,210064,103465,221410,112905,230850,122821,240766,130727,248672,139052,256997,145015,262960,151244,269189,155085,273030,159551,277496,26637,445955,8.7,
La Dade-Kotopon,EASTERN,Eastern,231306,0.75,34494,265800,58469,289775,84894,316200,109430,340736,136119,367425,158971,390277,183294,414600,202908,434214,224319,455625,240868,472174,259494,490800,272699,504005,287694,519000,296611,527917,307569,538875,312900,544206,29414,40109,,
La Nkwantanang Madina,EASTERN,Eastern,141124,0.46,21900,163024,35673,176797,52812,193936,66765,207889,84230,225354,96991,238115,113164,254288,123798,264922,138326,279450,146958,288082,159900,301024,166379,307503,177196,318320,180968,322092,189386,330510,190906,332030,48451,78929,,
Lambussie Karni,EASTERN,Eastern,63889,0.21,10535,74424,16150,80039,24647,88536,30226,94115,38990,102879,43909,107798,52199,116088,56045,119934,63686,127575,66530,130419,73535,137424,75322,139211,81431,145320,81927,145816,86996,150885,86426,150315,7466,901199,,
Lawra,EASTERN,Eastern,67886,0.22,10082,77968,17160,85046,24866,92752,32117,100003,39892,107778,46656,114542,53730,121616,59552,127438,65764,133650,70692,138578,76082,143968,80035,147921,84354,152240,87052,154938,90184,158070,91833,159719,10198,585209,15.6,
Ledzokuku,GREATER ACCRA,Greater Accra,158659,0.51,22085,180744,40106,198765,56357,215016,75061,233720,91190,249849,109043,267702,123269,281928,139180,297839,151166,309825,165218,323877,175085,333744,187052,345711,194261,352920,203453,362112,207776,366435,214627,373286,31660,34065,,
Lower Manya Krobo,GREATER ACCRA,Greater Accra,112464,0.36,15120,127584,28428,140892,39312,151776,53206,165670,63900,176364,77294,189758,86544,199008,98657,211121,106236,218700,117113,229577,123120,235584,132590,245054,136656,249120,144216,256680,146196,258660,152136,264600,17379,338887,6.3,
Mampong,UPPER WEST,Upper West,109125,0.35,14915,124040,27584,136709,38435,147560,51627,160752,62340,171465,74999,184124,84355,193480,95728,204853,103500,212625,113636,222761,119915,229040,128653,237778,133075,242200,139934,249059,142350,251475,147619,256744,16144,744918,,
Mamprugu Moagduri,UPPER WEST,Upper West,59378,0.19,7958,67336,15009,74387,20726,80104,28092,87470,33703,93081,40809,100187,45654,105032,52088,111466,56047,115425,61833,121211,64958,124336,70004,129382,72102,131480,76142,135520,77137,136515,80324,139702,5664,2358054,,
Mfantsiman,GREATER ACCRA,Greater Accra,170509,0.55,24411,194920,43101,213610,61371,231880,80667,251176,98936,269445,117187,287696,133531,304040,149575,320084,163616,334125,177557,348066,189411,359920,201022,371531,210091,380600,218649,389158,224666,395175,230657,401166,26373,334329,3.9,
Mion,EASTERN,Eastern,103202,0.33,13750,116952,26087,129289,35926,139128,48825,152027,58465,161667,70928,174130,79222,182424,90532,193734,97273,200475,107468,210670,112750,215952,121671,224873,125158,228360,132339,235541,133903,237105,139607,242809,7636,3020978,7.5,
Mpohor,ASHANTI,Ashanti,57103,0.18,6689,63792,14434,71537,18785,75888,27015,84118,31079,88182,39246,96349,42401,99504,50092,107195,52247,109350,59463,116566,60689,117792,67322,124425,67457,124560,73225,130328,72227,129330,77246,134349,4802,582662,8.8,
Nabdam,NORTH EAST,North East,42126,0.14,7490,49616,10649,52775,16898,59024,19930,62056,26460,68586,28952,71078,35266,77392,36954,79080,42924,85050,43867,85993,49490,91616,49665,91791,54754,96880,54019,96145,58464,100590,56986,99112,1482,272512,,
Nadowli Kaleo,CENTRAL,Central,76114,0.25,12486,88600,19240,95354,29286,105400,36009,112123,46361,122475,52311,128425,62086,138200,66769,142883,75761,151875,79260,155374,87486,163600,89735,165849,96886,173000,97603,173717,103511,179625,102964,179078,18004,1256445,,
Nandom,NORTHERN,Northern,56947,0.18,6845,63792,14395,71342,18941,75888,26941,83888,31235,88182,39138,96085,42557,99504,49956,106903,52403,109350,59301,116248,60845,117792,67138,124085,67613,124560,73025,129972,72383,129330,77035,133982,7999,448984,7.3,
Nanton,WESTERN,Western,58754,0.19,8582,67336,14852,73606,21350,80104,27796,86550,34327,93081,40380,99134,46278,105032,51541,110295,56671,115425,61183,119937,65582,124336,69268,128022,72726,131480,75342,134096,77761,136515,79480,138234,6133,621894,29.1,
Nanumba North,UPPER EAST,Upper East,178608,0.58,26944,205552,45148,223756,65920,244528,84499,263107,105534,284142,122753,301361,142016,320624,156680,335288,173742,352350,185991,364599,200944,379552,210571,389179,222752,401360,229034,407642,238122,416730,241613,420221,18819,2516834,6.3,
Nanumba South,UPPER WEST,Upper West,117895,0.38,16777,134672,29801,147696,42313,160208,55776,173671,68267,186162,81027,198922,92169,210064,103421,221316,112955,230850,122768,240663,130777,248672,138993,256888,145065,262960,151180,269075,155135,273030,159483,277378,12923,1992252,5.7,
New Juaben North,UPPER WEST,Upper West,74025,0.24,11031,85056,18712,92737,27159,101184,35021,109046,43551,117576,50876,124901,58647,132672,64937,138962,71775,145800,77085,151110,83031,157056,87272,161297,92055,166080,94925,168950,98415,172440,100138,174163,14950,117389,10.5,
New Juaben South,NORTHERN,Northern,157534,0.51,23210,180744,39821,197355,57482,215016,74529,232063,92315,249849,108270,265804,124394,281928,138193,295727,152291,309825,164046,321580,176210,333744,185726,343260,195386,352920,202011,359545,208901,366435,213105,370639,31352,60355,2.9,
Ningo Prampram,NORTHERN,Northern,89387,0.29,13389,102776,22595,111982,32877,122264,42289,131676,52684,142071,61434,150821,70925,160312,78413,167800,86788,176175,93082,182469,100389,189776,105383,194770,111293,200680,114624,204011,118978,208365,120919,210306,47211,692930,,
Nkoranza North,NORTHERN,Northern,82622,0.27,13066,95688,20885,103507,31210,113832,39088,121710,49651,132273,56784,139406,66634,149256,72478,155100,81403,164025,86037,168659,94066,176688,97408,180030,104218,186840,105949,188571,111373,193995,111767,194389,8910,1540919,14.2,
Nkoranza South,EASTERN,Eastern,126593,0.41,18711,145304,32000,158593,46263,172856,59891,186484,74266,200859,87004,213597,100055,226648,111051,237644,122482,249075,131826,258419,141711,268304,149247,275840,157127,283720,162334,288927,167992,294585,171249,297842,19384,1025232,4.2,
Nkwanta North,EASTERN,Eastern,80987,0.26,11157,92144,20472,101459,28629,109616,38315,119302,46387,127374,55661,136648,62741,143728,71044,152031,76963,157950,84335,165322,89157,170144,95480,176467,98933,179920,103852,184839,105823,186810,109556,190543,10081,1223938,14.7,
Nkwanta South,GREATER ACCRA,Greater Accra,147927,0.48,22185,170112,37393,185320,54441,202368,69984,217911,87225,235152,101667,249594,117417,265344,129766,277693,143673,291600,154042,301969,166185,314112,174399,322326,184233,332160,189691,337618,196953,344880,200109,348036,15846,3044674,3.2,
North Dayi,BONO EAST,Bono East,50321,0.16,6383,56704,12720,63041,17135,67456,23807,74128,28063,78384,34584,84905,38127,88448,44143,94464,46879,97200,52401,102722,54383,104704,59326,109647,60399,110720,64528,114849,64639,114960,68072,118393,8257,515405,,
North East Gonja,BONO EAST,Bono East,37681,0.12,4847,42528,9525,47206,12911,50592,17827,55508,21107,58788,25897,63578,28655,66336,33055,70736,35219,72900,39239,76920,40847,78528,44424,82105,45359,83040,48319,86000,48539,86220,50973,88654,3384,3260180,,
North Gonja,OTI,Oti,55169,0.18,8623,63792,13946,69115,20719,75888,26100,81269,33013,88182,37916,93085,44335,99504,48396,103565,54181,109350,57450,112619,62623,117792,65042,120211,69391,124560,70745,125914,74161,129330,74630,129799,5875,5385018,19.3,
North Tongu,OTI,Oti,113245,0.37,17883,131128,28626,141871,42747,155992,53576,166821,68018,181263,77831,191076,91291,204536,99342,212587,111530,224775,117926,231171,128883,242128,133511,246756,142795,256040,145218,258463,152600,265845,153193,266438,20079,1260458,5.4,
Nsawam Adoagyiri,VOLTA,Volta,108400,0.35,15640,124040,27401,135801,39160,147560,51284,159684,63065,171465,74501,182901,85080,193480,95092,203492,104225,212625,112881,221281,120640,229040,127799,236199,133800,242200,139005,247405,143075,251475,146639,255039,19883,194742,4.1,
Nzema East,SAVANNAH,Savannah,80933,0.26,11211,92144,20458,101391,28683,109616,38289,119222,46441,127374,55623,136556,62795,143728,70997,151930,77017,157950,84279,165212,89211,170144,95416,176349,98987,179920,103783,184716,105877,186810,109483,190416,8964,1202575,10.5,
Obuasi East,VOLTA,Volta,94182,0.3,12138,106320,23807,117989,32298,126480,44557,138739,52788,146970,64729,158911,71658,165840,82619,176801,88068,182250,98075,192257,102138,196320,111036,205218,113418,207600,120772,214954,121368,215550,127405,221587,21352,107820,4.5,
Offinso,EASTERN,Eastern,95292,0.31,14572,109864,24088,119380,35404,130696,45082,140374,56577,151869,65492,160784,76076,171368,83593,178885,93033,188325,99231,194523,107572,202864,112345,207637,119228,214520,122196,217488,127443,222735,128907,224199,18658,650748,3.8,
Offinso North,SAVANNAH,Savannah,70522,0.23,10990,81512,17826,88348,26446,96968,33364,103886,42155,112677,48468,118990,56622,127144,61864,132386,69203,139725,73437,143959,79990,150512,83142,153664,88638,159160,90433,160955,94733,165255,95399,165921,9744,1050814,,
Oforikrom,WESTERN,Western,375651,1.21,53173,428824,94956,470607,134485,510136,177719,553370,217128,592779,258176,633827,293237,668888,329532,705183,359424,735075,391179,766830,416173,791824,442876,818527,461669,837320,481709,857360,493734,869385,508164,883815,37471,51187,,
Okaikoi North,ASHANTI,Ashanti,287820,0.93,41772,329592,72755,360575,104268,392088,136167,423987,167787,455607,197812,485632,226284,514104,252484,540304,277155,564975,299718,587538,320772,608592,339327,627147,355740,643560,369080,656900,380385,668205,389350,677170,27964,30371,,
Okere,ASHANTI,Ashanti,76512,0.25,12088,88600,19341,95853,28888,105400,36198,112710,45963,122475,52585,129097,61688,138200,67119,143631,75363,151875,79675,156187,87088,163600,90204,166716,96488,173000,98114,174626,103113,179625,103502,180014,8711,341385,20.8,
Old Tafo,ASHANTI,Ashanti,180928,0.58,24624,205552,45735,226663,63600,244528,85596,266524,103214,284142,124348,305276,139696,320624,158715,339643,171422,352350,188407,369335,198624,379552,213306,394234,220432,401360,232009,412937,235802,416730,244751,425679,10587,10616,,
Prestea/Huni Valley,ASHANTI,Ashanti,211918,0.68,29074,240992,53568,265486,74770,286688,100258,312176,121214,333132,145646,357564,163986,375904,185901,397819,201182,413100,220678,432596,233074,444992,249842,461760,258642,470560,271749,483667,276662,488580,286673,498591,29270,2009622,,
Pru East,ASHANTI,Ashanti,91278,0.29,11498,102776,23073,114351,30986,122264,43183,134461,50793,142071,62733,154011,69034,160312,80072,171350,84897,176175,95051,186329,98498,189776,107613,198891,109402,200680,117049,208327,117087,208365,123477,214755,12278,1655521,5.8,
Pru West,GREATER ACCRA,Greater Accra,70746,0.23,10766,81512,17883,88629,26222,96968,33470,104216,41931,112677,48622,119368,56398,127144,62060,132806,68979,139725,73670,144416,79766,150512,83406,154152,88414,159160,90720,161466,94509,165255,95702,166448,5869,1925877,12.2,
Pusiga,EASTERN,Eastern,71779,0.23,9733,81512,18144,89923,25189,96968,33958,105737,40898,112677,49332,121111,55365,127144,62967,134746,67946,139725,74746,146525,78733,150512,84624,156403,87381,159160,92044,163823,93476,165255,97099,168878,5649,284702,14.7,
Saboba,ASHANTI,Ashanti,82891,0.27,12797,95688,20953,103844,30941,113832,39215,122106,49382,132273,56969,139860,66365,149256,72714,155605,81134,164025,86317,169208,93797,176688,97725,180616,103949,186840,106294,189185,111104,193995,112131,195022,6912,1950115,27,
